x: 0.0, y: 0.0
[1725214599081] x: 0.0, y: 0.0
[1725214599093] x: 0.0, y: 0.0
[1725214599104] x: 0.0, y: 0.0
[1725214599115] x: 0.0, y: 0.0
[1725214599126] x: 0.0, y: 0.0
[1725214599137] x: 0.0, y: 0.0
[1725214599148] x: 0.0, y: 0.0
[1725214599159] x: 0.0, y: 0.0
[1725214599170] x: 0.0, y: 0.0
[1725214599181] x: 0.0, y: 0.0
[1725214599192] x: 0.0, y: 0.0
[1725214599203] x: 0.0, y: 0.0
[1725214599214] x: 0.0, y: 0.0
[1725214599225] x: 0.0, y: 0.0
[1725214599236] x: 0.0, y: 0.0
[1725214599247] x: 0.0, y: 0.0
[1725214599258] x: 0.0, y: 0.0
[1725214599269] x: 0.0, y: 0.0
[1725214599280] x: 0.0, y: 0.0
[1725214599291] x: 0.0, y: 0.0
[1725214599302] x: 0.0, y: 0.0
[1725214599313] x: 0.0, y: 0.0
[1725214599324] x: 0.0, y: 0.0
[1725214599335] x: 0.0, y: 0.0
[1725214599346] x: 0.0, y: 0.0
[1725214599357] x: 0.0, y: 0.0
[1725214599368] x: 0.0, y: 0.0
[1725214599379] x: 0.0, y: 0.0
[1725214599389] x: 0.0, y: 0.0
[1725214599401] x: 0.0, y: 0.0
[1725214599412] x: 0.0, y: 0.0
[1725214599423] x: 0.0, y: 0.0
[1725214599434] x: 0.0, y: 0.0
[1725214599445] x: 0.0, y: 0.0
[1725214599456] x: 0.0, y: 0.0
[1725214599467] x: 0.0, y: 0.0
[1725214599478] x: 0.0, y: 0.0
[1725214599489] x: 0.0, y: 0.0
[1725214599500] x: 0.0, y: 0.0
[1725214599511] x: 0.0, y: 0.0
[1725214599522] x: 0.0, y: 0.0
[1725214599533] x: 0.0, y: 0.0
[1725214599544] x: 0.0, y: 0.0
[1725214599555] x: 0.0, y: 0.0
[1725214599566] x: 0.0, y: 0.0
[1725214599577] x: 0.0, y: 0.0
[1725214599588] x: 0.0, y: 0.0
[1725214599599] x: 0.0, y: 0.0
[1725214599610] x: 0.0, y: 0.0
[1725214599621] x: 0.0, y: 0.0
[1725214599632] x: 0.0, y: 0.0
[1725214599643] x: 0.0, y: 0.0
[1725214599654] x: 0.0, y: 0.0
[1725214599665] x: 0.0, y: 0.0
[1725214599676] x: 0.0, y: 0.0
[1725214599687] x: 0.0, y: 0.0
[1725214599698] x: 0.0, y: 0.0
[1725214599709] x: 0.0, y: 0.0
[1725214599720] x: 0.0, y: 0.0
[1725214599731] x: 0.0, y: 0.0
[1725214599742] x: 0.0, y: 0.0
[1725214599753] x: 0.0, y: 0.0
[1725214599764] x: 0.0, y: 0.0
[1725214599775] x: 0.0, y: 0.0
[1725214599786] x: 0.0, y: 0.0
[1725214599797] x: 0.0, y: 0.0
[1725214599808] x: 0.0, y: 0.0
[1725214599819] x: 0.0, y: 0.0
[1725214599830] x: 0.0, y: 0.0
[1725214599841] x: 0.0, y: 0.0
[1725214599852] x: 0.0, y: 0.0
[1725214599863] x: 0.0, y: 0.0
[1725214599874] x: 0.0, y: 0.0
[1725214599885] x: 0.0, y: 0.0
[1725214599896] x: 0.0, y: 0.0
[1725214599907] x: 0.0, y: 0.0
[1725214599918] x: 0.0, y: 0.0
[1725214599929] x: 0.0, y: 0.0
[1725214599940] x: 0.0, y: 0.0
[1725214599950] x: 0.0, y: 0.0
[1725214599962] x: 0.0, y: 0.0
[1725214599973] x: 0.0, y: 0.0
